#time,accel_x,accel_y,accel_z
378.049675,7105.977043,-6661.853478,766.095498
378.050009,7328.038826,-6809.894666,536.266849
378.050343,7328.038826,-6883.915261,842.705048
378.050678,6587.832884,-6883.915261,1302.362347
378.051012,6957.935855,-6439.791695,842.705048
378.051346,7105.977043,-6291.750507,919.314598
378.051681,7179.997637,-5699.585753,842.705048
378.052015,7254.018232,-5921.647536,1149.143247
378.052349,7476.080014,-5625.565159,1608.800546
378.052684,7328.038826,-6291.750507,1225.752797
378.053018,7105.977043,-5773.606348,1072.533697
378.053352,6587.832884,-6291.750507,459.657299
378.053687,6957.935855,-6513.812290,536.266849
378.054021,7031.956449,-6513.812290,1072.533697
378.054355,7105.977043,-6661.853478,995.924147
378.054690,7105.977043,-6587.832884,1072.533697
378.055024,7105.977043,-6735.874072,1149.143247
378.055358,7254.018232,-6735.874072,766.095498
378.055693,6661.853478,-6809.894666,919.314598
378.056027,6661.853478,-6883.915261,689.485948
378.056361,6809.894666,-6217.729913,536.266849
378.056696,7105.977043,-5477.523971,1072.533697
378.057030,7105.977043,-6291.750507,995.924147
378.057364,7402.059420,-6513.812290,1225.752797
378.057699,7179.997637,-6439.791695,995.924147
378.058033,7105.977043,-6661.853478,689.485948
378.058367,7105.977043,-6809.894666,1149.143247
378.058702,7328.038826,-6365.771101,689.485948
378.059036,7179.997637,-6587.832884,919.314598
378.059371,7254.018232,-6291.750507,919.314598
378.059705,7328.038826,-6735.874072,995.924147
378.060039,7105.977043,-6587.832884,919.314598
378.060374,6735.874072,-6735.874072,995.924147
378.060708,6661.853478,-6661.853478,383.047749
378.061042,6587.832884,-6957.935855,612.876398
378.061377,7105.977043,-6883.915261,842.705048
378.061711,6957.935855,-6809.894666,919.314598
378.062045,7031.956449,-6883.915261,919.314598
378.062380,6735.874072,-6883.915261,995.924147
378.062714,6883.915261,-6809.894666,612.876398
378.063048,6587.832884,-6513.812290,536.266849
378.063383,6513.812290,-6957.935855,612.876398
378.063717,7031.956449,-6883.915261,536.266849
